 110923_2348 23-Sep-2011 23:48:32 23:53:44 00:20:23  1911  199912   79803904  n0 n1 n3 n5     bn110923993  11092371
 120704_0423  4-Jul-2012 04:23:27 04:34:08 05:01:11  2264  202397   75709152  n5 n3 n1 n4     bn120704187         
 121022_1841 22-Oct-2012 18:41:06 18:47:41 18:59:20  1093  519943  190112528  n5 n3 n1 n0     bn121022782          
 130405_1737  5-Apr-2013 17:37:00 17:40:28 18:00:14  1394   63386   22966208  n0 n1 n3 n5     bn130405735          
 140311_1159 11-Mar-2014 11:59:04 12:03:39 12:13:33   869   78588   16606938  n1 n3 n5 n0     bn140311501  14031137 
